coachID,OVERALL_ALL_TIME
adamsmi01w,9.7
adubari99w,9.3
aglerbr99w,9.4
allenso99w,11.2
bibbyhe01w,9.3
boguemu01w,6.2
bouceje01w,8.6
brownde01w,7.3
bryanjo01w,11.9
chancva99w,11.8
coopecy01w,10.0
coopemi01w,13.2
cowenda01w,2.9
coylepa99w,9.2
dailesh99w,8.8
darscna99w,9.0
donovan99w,9.9
dunnli99wc,8.5
dunntr01wc,5.0
fortnne99w,8.4
gaineco01w,11.4
gilloje01w,8.2
grafca99wc,9.7
hargrli99w,7.7
harveca99w,10.2
hugheda99w,9.3
jenkica99w,1.8
kenlaje99w,3.3
keyst99wc,8.2
laceytr99w,7.3
laimbbi01w,11.1
liebena01w,8.7
maherto99w,6.2
mahorri01w,11.1
mcconsu01w,9.1
mchugma99w,10.0
meadoma99w,6.2
millech99w,11.7
overtbo99w,8.2
peckca99wc,8.9
plankju99w,8.9
rollitr01w,9.0
rothsro99w,9.8
sharpli99w,4.5
shumajo01w,4.7
stanlma99w,8.0
thibami99w,11.8
thompka99w,10.6
vandehe99w,6.1
walkeda01w,7.1
weisery99w,14.1
westhpa99w,12.2
whisejo99w,12.1
willifr99w,9.4
willigr99w,3.6
wintebr01w,11.2
zierddo99w,7.6
