feature,importance
playoff_rate_3yr,0.11259049569085823
player_overall_avg,0.10551843871510044
o_reb,0.09766902625995529
o_pts,0.08671166086936427
d_pts,0.07838488355111256
is_new_team,0.07486352026077936
player_stamina_avg,0.06960921034631828
player_defense_avg,0.06893298536335805
coach_overall,0.06821512624811917
player_offense_avg,0.06253881327038073
d_reb,0.06113455741804307
lost,0.03738429132483804
won,0.03734171558903239
points_diff_3yr,0.02727867670627036
confID,0.011826598386469685
win_rate_3yr,0.0
