playerID,tmID,OVERALL
adairje01w,10,5.6
adamsda01w,16,5.6
ajavoma01w,19,7.4
anosini01w,19,15.1
appelja01w,16,5.6
augusse01w,10,14.4
ayimmi01w,20,5.6
balesal01w,0,6.9
beviltu01w,16,8.4
birdsu01w,17,13.7
bjorkan01w,2,5.6
bobbish01w,7,5.8
bonnede01w,13,11.7
braxtka01w,11,8.5
braxtka01w,13,8.5
brelaje01w,4,5.6
brelaje01w,11,5.6
brunsre01w,10,10.9
camba01w,20,5.6
cantydo01w,2,8.7
carsoes01w,11,8.4
cashsw01w,17,13.4
castriz01w,0,8.2
catchta01w,7,16.7
charlti01w,4,5.6
cheekjo01w,19,5.6
chestfe01w,11,5.6
chriska02w,20,5.6
chriska02w,19,5.6
colemma01w,19,8.3
colsosy01w,11,5.6
currimo01w,19,10.8
davenje01w,7,5.4
desouer01w,0,8.2
douglka01w,7,13.2
dunlavi01w,19,5.6
dupreca01w,13,15.8
elysh01w,7,5.0
ferdima01w,13,10.0
fowlesy01w,2,13.2
gardike01w,19,8.2
graylal01w,13,5.6
greenka01w,4,5.6
griffke01w,4,5.6
hammobe01w,16,11.9
hardili01w,0,11.2
harriam01w,10,5.6
hightal01w,4,5.6
hodgedo01w,20,4.2
hodgero01w,16,6.5
hoffmeb01w,8,9.1
holliqu01w,11,5.8
holtam01w,20,7.8
hornbal01w,10,11.0
houstch01w,10,10.8
ibekwif01w,17,5.6
irvinsa01w,0,3.8
jacksla01w,17,16.8
jacksti02w,20,7.9
januabr01w,7,9.2
johnste01w,13,9.6
jonesas01w,4,10.9
jonesma01w,20,5.6
kobryew01w,17,5.6
kraayca01w,2,10.7
lacyje01w,20,4.6
lacyna01w,8,5.6
langhcr01w,19,9.8
lattaiv01w,20,7.1
lavenja01w,8,5.6
lawsoka01w,4,10.2
lehnish01w,0,7.5
lennobe01w,20,11.1
littlca01w,17,8.6
lyttlsa01w,0,9.4
mazzake01w,0,6.1
mccouan01w,0,11.9
mccrada01w,4,5.6
mcwilta01w,10,14.2
milleco01w,0,6.7
milleke01w,19,9.2
miltode01w,8,13.7
mitchle01w,11,5.6
monroja01w,20,5.6
montgal01w,11,5.6
montgre01w,4,9.5
mooreje01w,4,4.0
moorema01w,10,5.6
murphsh01w,2,3.3
oheaje01w,8,5.6
olajuab01w,20,5.6
parisco01w,0,6.5
parkeca01w,8,16.6
pederka01w,20,5.6
penicti01w,8,12.2
perkiji01w,16,9.8
philler01w,7,7.3
phillpo01w,16,5.6
phillta02w,11,5.6
phillta02w,19,5.6
pierspl01w,11,8.2
pohleje01w,7,5.6
pondeca01w,11,13.6
powelni01w,11,12.5
pricear01w,0,7.1
princep01w,2,5.6
pringla01w,8,6.3
quiglal01w,17,2.0
quinnno01w,8,9.1
reedch01w,20,5.6
rileyan01w,20,5.6
rileyru01w,16,11.2
robinas01w,17,4.6
robinda01w,16,5.6
sanfona01w,13,7.7
sanniol01w,13,4.4
smithka01w,17,12.6
smithta01w,7,14.0
snellbe01w,17,5.3
snowmi01w,2,12.1
spencsi01w,11,6.9
spencsi01w,13,6.9
suttota01w,7,12.4
swanike01w,13,4.3
swoopsh01w,20,15.0
swordca01w,2,5.6
tauradi01w,13,15.5
taylope01w,13,12.8
thomaja01w,19,5.6
thomakr01w,13,5.6
thomakr01w,17,5.6
thompti01w,8,15.2
thorner01w,2,5.1
tolivkr01w,8,7.0
vandeco01w,2,5.6
vaughki01w,11,4.8
walkede01w,4,8.3
walkede01w,19,8.3
whaleli01w,10,13.8
whiteta01w,4,9.2
wiggica01w,10,12.0
willile01w,17,5.4
wisdoli01w,2,3.4
wrighmo01w,10,5.6
wrighta01w,17,7.6
youngso01w,16,15.1
youngta01w,2,5.8
zellosh01w,7,11.3
