year,tmID,W,L
1,6,6,0
1,12,1,2
1,3,3,3
1,19,0,2
1,11,4,3
1,13,0,2
1,8,2,2
1,15,0,2
2,3,1,2
2,1,4,4
2,9,1,2
2,11,3,3
2,6,0,2
2,8,6,1
2,18,0,2
2,15,3,2
3,19,3,2
3,17,0,2
3,8,6,0
3,6,1,2
3,18,2,3
3,7,1,2
3,11,4,4
3,1,0,2
4,15,3,3
4,3,1,2
4,5,6,2
4,1,0,2
4,4,2,2
4,10,1,2
4,8,5,4
4,6,1,2
5,19,1,2
5,4,5,3
5,5,1,2
5,11,2,3
5,10,0,2
5,17,6,2
5,8,1,2
5,15,3,3
6,4,5,3
6,11,0,2
6,7,2,2
6,17,1,2
6,6,2,3
6,8,0,2
6,15,7,1
6,5,0,2
7,8,2,3
7,6,0,2
7,15,6,3
7,7,0,2
7,5,7,3
7,19,0,2
7,4,3,2
7,17,1,2
8,11,1,2
8,5,6,5
8,4,1,2
8,7,3,3
8,17,0,2
8,13,7,2
8,15,1,2
8,16,2,3
9,16,4,5
9,17,1,2
9,8,3,3
9,7,1,2
9,5,7,2
9,4,1,2
9,11,3,3
9,15,1,2
10,7,6,4
10,0,0,2
10,5,3,2
10,16,1,2
10,13,7,4
10,17,1,2
10,8,3,3
10,19,0,2
