playerID,award,year
thompti01w,0,1
leslili01w,0,2
leslili01w,0,3
teaslni01w,0,4
swoopsh01w,0,6
douglka01w,0,7
fordch01w,0,8
coopemi01w,1,1
hugheda99w,1,2
stanlma99w,1,3
laimbbi01w,1,4
mcconsu01w,1,5
whisejo99w,1,6
thibami99w,1,7
hugheda99w,1,8
thibami99w,1,9
swoopsh01w,2,1
blackde01w,2,2
swoopsh01w,2,3
swoopsh01w,2,4
leslili01w,2,5
catchta01w,2,6
catchta01w,2,7
jacksla01w,2,8
leslili01w,2,9
mcconsu01w,3,1
wickssu01w,3,2
gilloje01w,3,3
campbed01w,3,4
edwarte01w,3,5
mcwilta01w,3,6
staleda01w,3,7
beviltu01w,3,8
johnsvi01w,3,9
phillta01w,4,1
arcaija01w,4,2
milleco01w,4,3
snowmi01w,4,4
milleke01w,4,5
palmewe01w,4,5
mccarja01w,4,8
hoffmeb01w,4,9
swoopsh01w,5,1
leslili01w,5,2
swoopsh01w,5,3
jacksla01w,5,4
leslili01w,5,5
swoopsh01w,5,6
leslili01w,5,7
jacksla01w,5,8
parkeca01w,5,9
lennobe01w,6,1
stileja01w,6,2
catchta01w,6,3
fordch01w,6,4
tauradi01w,6,5
johnste01w,6,6
augusse01w,6,7
pricear01w,6,8
parkeca01w,6,9
pierspl01w,7,8
wiggica01w,7,9
coopecy01w,8,1
leslili01w,8,2
leslili01w,8,3
rileyru01w,8,4
lennobe01w,8,5
griffyo01w,8,6
nolande01w,8,7
pondeca01w,8,8
smithka01w,8,9
birdsu01w,9,7
catchta01w,9,7
coopecy01w,9,7
griffyo01w,9,7
jacksla01w,9,7
leslili01w,9,7
smithka01w,9,7
staleda01w,9,7
swoopsh01w,9,7
thompti01w,9,7
boltoru01w,10,7
holdsch01w,10,7
penicti01w,10,7
tauradi01w,10,7
weathte01w,10,7
