coachID,year,tmID,stint,won,lost,post_wins,post_losses,OVERALL,is_rookie
adamsmi01w,5,19,0,17,17,1,2,5.8,1
adubari99w,1,11,0,20,12,4,3,7.4,1
adubari99w,2,11,0,21,11,3,3,7.6,0
adubari99w,3,11,0,18,14,4,4,6.6,0
adubari99w,4,11,0,16,18,0,0,5.6,0
adubari99w,5,11,1,7,9,0,0,5.2,0
adubari99w,6,19,0,16,18,0,0,5.6,0
adubari99w,7,19,0,18,16,0,2,6.0,0
adubari99w,8,19,1,0,4,0,0,1.0,0
aglerbr99w,1,10,0,15,17,0,0,5.6,1
aglerbr99w,2,10,0,12,20,0,0,4.5,0
aglerbr99w,3,10,1,6,13,0,0,3.8,0
aglerbr99w,9,17,0,22,12,1,2,7.4,0
allenso99w,1,15,0,21,11,0,2,7.4,1
allenso99w,2,15,1,6,6,0,0,6.0,0
bibbyhe01w,6,8,1,13,15,0,0,5.6,1
boguemu01w,6,1,2,3,7,0,0,3.6,1
boguemu01w,7,1,0,11,23,0,0,3.9,0
bouceje01w,8,15,0,19,15,1,2,6.5,1
bouceje01w,9,15,0,18,16,1,2,6.2,0
brownde01w,3,12,0,16,16,0,0,6.0,1
brownde01w,5,16,2,6,20,0,0,2.8,0
bryanjo01w,6,8,2,4,2,0,2,6.0,1
bryanjo01w,7,8,0,25,9,2,3,8.3,0
chancva99w,1,6,0,27,5,6,0,10.0,1
chancva99w,2,6,0,19,13,0,2,6.7,0
chancva99w,3,6,0,24,8,1,2,8.6,0
chancva99w,4,6,0,20,14,1,2,6.8,0
chancva99w,5,6,0,13,21,0,0,4.6,0
chancva99w,6,6,0,19,15,2,3,6.5,0
chancva99w,7,6,0,18,16,0,2,6.0,0
coopecy01w,2,13,0,13,19,0,0,4.9,1
coopecy01w,3,13,1,6,4,0,0,7.2,0
coopemi01w,1,8,0,28,4,2,2,10.0,1
coopemi01w,2,8,0,28,4,6,1,10.0,0
coopemi01w,3,8,0,25,7,6,0,9.8,0
coopemi01w,4,8,0,24,10,5,4,8.1,0
coopemi01w,5,8,1,14,6,0,0,8.4,0
coopemi01w,8,8,0,10,24,0,0,3.5,0
coopemi01w,9,8,0,20,14,3,3,6.9,0
cowenda01w,7,2,0,5,29,0,0,1.8,1
coylepa99w,5,11,2,11,7,2,3,6.8,1
coylepa99w,6,11,0,18,16,0,2,6.0,0
coylepa99w,7,11,0,11,23,0,0,3.9,0
coylepa99w,8,11,0,16,18,1,2,5.5,0
coylepa99w,9,11,0,19,15,3,3,6.6,0
dailesh99w,4,16,2,6,6,0,0,6.0,1
dailesh99w,5,16,1,3,5,0,0,4.5,0
darscna99w,1,19,1,9,11,0,0,5.4,1
donovan99w,1,7,0,9,23,0,0,3.4,1
donovan99w,2,1,0,18,14,4,4,6.6,0
donovan99w,3,1,0,18,14,0,2,6.3,0
donovan99w,4,17,0,18,16,0,0,6.3,0
donovan99w,5,17,0,20,14,6,2,7.4,0
donovan99w,6,17,0,20,14,1,2,6.8,0
donovan99w,7,17,0,18,16,1,2,6.2,0
donovan99w,8,17,0,17,17,0,2,5.7,0
dunnli99wc,1,17,0,6,26,0,0,2.2,1
dunnli99wc,2,17,0,10,22,0,0,3.7,0
dunnli99wc,3,17,0,17,15,0,2,6.0,0
dunnli99wc,9,7,0,17,17,1,2,5.8,0
dunntr01wc,1,1,0,8,24,0,0,3.0,1
fortnne99w,2,7,0,10,22,0,0,3.7,1
fortnne99w,3,7,0,16,16,1,2,5.8,0
fortnne99w,4,7,0,16,18,0,0,5.6,0
gaineco01w,9,13,0,16,18,0,0,5.6,1
grafca99wc,5,13,0,17,17,0,0,6.0,1
grafca99wc,6,13,0,16,18,0,0,5.6,0
hargrli99w,1,14,0,10,22,0,0,3.7,1
hargrli99w,2,14,0,11,21,0,0,4.1,0
hargrli99w,3,14,0,16,16,0,0,6.0,0
harveca99w,2,18,2,14,5,0,2,8.0,1
harveca99w,3,18,0,20,12,2,3,7.1,0
harveca99w,4,16,1,6,16,0,0,3.3,0
hugheda99w,1,3,0,17,15,3,3,6.3,1
hugheda99w,2,3,0,22,10,1,2,7.9,0
hugheda99w,3,3,0,10,22,0,0,3.7,0
hugheda99w,4,3,0,17,17,1,2,5.8,0
hugheda99w,6,16,0,7,27,0,0,2.5,0
