playerID,tmID,OVERALL
castriz01w,0,3.9
desouer01w,0,3.3
holdsch01w,0,7.8
mccouan01w,0,3.0
lehnish01w,0,3.0
lyttlsa01w,0,4.2
lacyje01w,0,2.5
lattaiv01w,0,4.0
milleco01w,0,3.6
pricear01w,0,5.1
teaslni01w,0,6.2
snowmi01w,0,6.6
youngta01w,0,4.5
dupreca01w,2,7.9
nanch01w,2,3.0
cantydo01w,2,4.5
perkiji01w,2,4.6
sharpkb01w,2,2.1
youngta01w,2,4.5
wyckobr01w,2,3.7
tolivkr01w,2,3.0
elysh01w,2,2.4
fowlesy01w,2,6.5
pricear01w,2,5.1
thorner01w,2,2.6
cironkr01w,4,3.0
grudasa01w,4,4.1
jekaban01w,4,3.0
philler01w,4,3.0
ervinla01w,4,3.0
jonesas01w,4,5.4
blackch01w,4,3.0
whitmta01w,4,5.4
holtam01w,4,4.3
gardike01w,4,3.8
brownki01w,4,2.0
whiteta01w,4,4.6
turneba01w,4,3.8
whaleli01w,4,7.0
farriba01w,5,2.9
millebr01w,5,3.0
kellycr01w,5,3.9
haynikr01w,5,3.2
hornbal01w,5,5.6
davista02w,5,3.0
fordch01w,5,7.3
braxtka01w,5,4.2
bakersh01w,5,2.8
schumke01w,5,3.7
mcwilta01w,5,7.3
smithka01w,5,6.5
zellosh01w,5,3.0
teaslni01w,5,6.2
deforan01w,5,5.9
pierspl01w,5,4.6
nolande01w,5,6.8
sanniol01w,5,2.3
davenje01w,7,3.1
douglka01w,7,6.6
mooreje01w,7,2.1
januabr01w,7,3.0
murphsh01w,7,1.8
griffyo01w,7,7.4
dixonta01w,7,5.2
whittkh01w,7,2.1
wirthch01w,7,3.0
catchta01w,7,8.5
beviltu01w,7,4.2
hoffmeb01w,7,4.4
suttota01w,7,6.3
whiteer01w,7,2.5
miltode01w,8,7.1
ferdima01w,8,5.5
bobbish01w,8,3.9
harrokr01w,8,3.2
leslili01w,8,8.8
thompti01w,8,7.7
wisdoli01w,8,3.0
quinnno01w,8,4.0
lennobe01w,8,5.7
parkeca01w,8,8.7
haydeva01w,8,4.1
houstch01w,10,4.6
humphta01w,10,4.0
montgre01w,10,3.0
pringla01w,10,4.1
mccanra01w,10,3.0
milleke01w,10,4.8
hodgero01w,10,2.8
montaan01w,10,3.0
thomach01w,10,3.7
wiggica01w,10,5.8
augusse01w,10,7.5
holliqu01w,10,3.0
anosini01w,10,7.3
battlas01w,11,2.9
chrissh01w,11,5.9
carsoes01w,11,3.9
kraayca01w,11,5.4
mitchle01w,11,3.3
moorelo01w,11,5.2
larkier01w,11,2.9
mccarja01w,11,4.8
jacksti02w,11,4.2
vaughki01w,11,3.0
spencsi01w,11,4.2
smithta01w,13,7.2
smithbr01w,13,2.7
tauradi01w,13,7.8
swanike01w,13,1.8
taylope01w,13,6.6
willile01w,13,2.4
pondeca01w,13,6.8
bonnede01w,13,3.0
mazzake01w,13,3.3
ohldeni01w,13,5.8
quiglal01w,13,1.2
johnste01w,13,4.6
newtoch01w,15,3.6
penicti01w,15,6.3
powelni01w,15,6.1
boddiwh01w,15,3.0
harpela01w,15,3.9
brunsre01w,15,5.4
haynikr01w,15,3.2
lawsoka01w,15,5.3
kellycr01w,15,3.9
maigaha01w,15,3.1
willili01w,15,2.4
parisco01w,15,3.0
walkede01w,15,4.2
youngso01w,16,7.6
darlihe01w,16,4.0
snellbe01w,16,2.3
wautean01w,16,5.8
rileyru01w,16,5.9
frazeme01w,16,3.0
lawsoed01w,16,1.5
johnsvi01w,16,6.2
hammobe01w,16,5.8
wrighta01w,17,3.4
cashsw01w,17,6.7
burseja01w,17,4.2
walkeas01w,17,3.0
frankaq01w,17,2.1
birdsu01w,17,6.9
atkinla01w,17,2.5
batkosu01w,17,4.1
gearlka01w,17,2.9
littlca01w,17,3.9
robinas01w,17,2.6
johnssh01w,17,6.2
jacksla01w,17,8.6
colemma01w,19,3.0
beardal01w,19,7.7
blueni01w,19,2.7
ajavoma01w,19,3.7
currimo01w,19,5.5
hardili01w,19,4.9
humphta01w,19,4.0
sanfona01w,19,4.0
mosbybe01w,19,2.2
mannkr01w,19,3.1
melvich01w,19,5.9
langhcr01w,19,3.2
